year,dest_province,inflow,outflow,net_migration,dest_population,partners,inflow_per_1000,outflow_per_1000,net_per_1000,outflow_yoy_pct,inflow_yoy_pct,net_yoy_change,outflow_per_1000_yoy_pct,net_per_1000_change
2014,ADIYAMAN,16578,24330,-7752,597835,80,27.73005929729775,40.696847792451095,-12.966788495153345,1.0507953648710489,5.49156856506523,610.0,0.9407582011343285,1.035596029549259
2015,ADIYAMAN,18523,24064,-5541,602774,80,30.729593512659804,39.92209352095478,-9.192500008294981,-1.09330045211673,11.732416455543483,2211.0,-1.9037205914508748,3.7742884868583637
2016,ADIYAMAN,18789,21201,-2412,610484,80,30.77721938658507,34.72818288439992,-3.9509634978148482,-11.897440159574469,1.4360524753009862,3129.0,-13.01011589942952,5.241536510480133
2017,ADIYAMAN,18040,22741,-4701,615076,80,29.329708848987767,36.97266679239639,-7.642957943408619,7.263808310928721,-3.9863750066528314,-2289.0,6.463004170035913,-3.6919944455937705
2018,ADIYAMAN,22034,22897,-863,624513,80,35.28189164997366,36.663768408343785,-1.3818767583701221,0.6859856646585394,22.139689578713973,3838.0,-0.8354776943385933,6.261081185038496
2019,ADIYAMAN,17619,24821,-7202,626465,80,28.12447622772222,39.62072901119775,-11.496252783475533,8.402847534611514,-20.037215212852864,-6339.0,8.065075498843255,-10.114376025105411
2020,ADIYAMAN,16163,16936,-773,632459,80,25.555806779569902,26.778020393416806,-1.2222136138469055,-31.767454977639897,-8.263806118394912,6429.0,-32.41411487948971,10.274039169628628
2021,ADIYAMAN,17598,24860,-7262,632148,80,27.838417585755234,39.32623373007587,-11.487816144320632,46.78790741615493,8.87830229536597,-6489.0,46.86012316184491,-10.265602530473727
2022,ADIYAMAN,18780,23359,-4579,635169,80,29.566934154532102,36.776039132892194,-7.20910497836009,-6.037811745776345,6.716672349130581,2683.0,-6.484716066856255,4.278711165960543
2023,ADIYAMAN,23294,48372,-25078,604978,80,38.50387947991497,79.95662652195618,-41.452747042041196,107.0807825677469,24.036208732694362,-20499.0,117.41500283113311,-34.24364206368111
2024,ADIYAMAN,22295,21158,1137,611037,80,36.48715216918125,34.62638105384781,1.8607711153334414,-56.25981973042256,-4.288658023525372,26215.0,-56.69354428761528,43.31351815737464
2008,AFYONKARAHİSAR,18270,24861,-6591,697365,80,26.198619087565337,35.649910735411154,-9.451291647845819,,,,,
2009,AFYONKARAHİSAR,20223,22256,-2033,701326,80,28.8353775562292,31.73417212537393,-2.8987945691447345,-10.478259120711153,10.689655172413804,4558.0,-10.983866521011254,6.5524970787010846
