year,province,in_migration,out_migration,net_migration,out_migration_growth
2015,SİVAS,25319,33501,-8182,-3.8846650408836614
2016,SİVAS,22966,26369,-3403,-21.28891674875377
2017,SİVAS,22147,28697,-6550,8.828548674580006
2018,SİVAS,45861,26271,19590,-8.453845349688116
2019,SİVAS,23572,36430,-12858,38.670016367858096
2020,SİVAS,18490,23885,-5395,-34.43590447433434
2021,SİVAS,25720,28285,-2565,18.421603516851583
2022,SİVAS,24583,27668,-3085,-2.181368216369095
2023,SİVAS,48214,31783,16431,14.872777215555866
2024,SİVAS,21808,35421,-13613,11.446370701318308
2008,SİİRT,11870,12625,-755,
2009,SİİRT,8475,11797,-3322,-6.558415841584154
2010,SİİRT,8911,13973,-5062,18.445367466304987
2011,SİİRT,10274,14228,-3954,1.8249481142202928
2012,SİİRT,8823,14628,-5805,2.8113578858588673
2013,SİİRT,10866,13339,-2473,-8.811867651080119
2014,SİİRT,10551,14366,-3815,7.6992278281730275
2015,SİİRT,10505,16166,-5661,12.529583739384664
2016,SİİRT,10775,15068,-4293,-6.792032661140668
2017,SİİRT,12163,15406,-3243,2.243164321741431
2018,SİİRT,15017,15726,-709,2.0771128131896743
2019,SİİRT,11016,17252,-6236,9.703675441943282
2020,SİİRT,9044,12958,-3914,-24.889867841409696
2021,SİİRT,12670,16340,-3670,26.099706744868033
2022,SİİRT,12356,17607,-5251,7.753977968176251
2023,SİİRT,21120,16468,4652,-6.4690180042028755
2024,SİİRT,10193,21815,-11622,32.46903084770465
2008,TEKİRDAĞ,47534,22373,25161,
2009,TEKİRDAĞ,37655,29066,8589,29.9155231752559
2010,TEKİRDAĞ,41307,29433,11874,1.2626436386155682
2011,TEKİRDAĞ,42265,28620,13645,-2.762205687493624
2012,TEKİRDAĞ,42155,28042,14113,-2.019566736547873
2013,TEKİRDAĞ,45313,31681,13632,12.976963126738461
2014,TEKİRDAĞ,52994,31266,21728,-1.3099333985669648
2015,TEKİRDAĞ,54482,33937,20545,8.542826073050591
2016,TEKİRDAĞ,56536,32290,24246,-4.8531101747355425
2017,TEKİRDAĞ,55391,34658,20733,7.333539795602362
2018,TEKİRDAĞ,53895,41010,12885,18.327658837786377
2019,TEKİRDAĞ,48911,38109,10802,-7.073884418434528
2020,TEKİRDAĞ,50764,28468,22296,-25.29848592196069
2021,TEKİRDAĞ,60190,37516,22674,31.783054657861463
2022,TEKİRDAĞ,63354,37969,25385,1.2074848064825616
2023,TEKİRDAĞ,63230,45182,18048,18.997076562458858
2024,TEKİRDAĞ,53439,37996,15443,-15.904563764330925
2008,TOKAT,29593,35892,-6299,
2009,TOKAT,32655,34213,-1558,-4.677922656859468
2010,TOKAT,25430,40995,-15565,19.822874346008824
2011,TOKAT,29576,36342,-6766,-11.350164654226125
2012,TOKAT,34725,31812,2913,-12.464916625392108
2013,TOKAT,26987,47071,-20084,47.966176285678365
2014,TOKAT,35891,38737,-2846,-17.70516878757622
2015,TOKAT,34586,40805,-6219,5.33856519606577
2016,TOKAT,36572,33380,3192,-18.19629947310378
2017,TOKAT,34735,38746,-4011,16.07549430796884
2018,TOKAT,46391,41326,5065,6.658751871160895
2019,TOKAT,39530,39567,-37,-4.256400329090648
2020,TOKAT,24840,41746,-16906,5.507114514620759
2021,TOKAT,35555,31400,4155,-24.783212762899442
2022,TOKAT,28325,35358,-7033,12.60509554140128
2023,TOKAT,45011,34546,10465,-2.296509983596362
2024,TOKAT,38697,32350,6347,-6.356741735656801
2008,TRABZON,25918,27027,-1109,
2009,TRABZON,36868,26474,10394,-2.0461020461020496
2010,TRABZON,29130,36546,-7416,38.04487421621214
2011,TRABZON,24858,38446,-13588,5.198927379193341
2012,TRABZON,21864,25478,-3614,-33.73042709254539
2013,TRABZON,25115,29988,-4873,17.70154643221602
2014,TRABZON,31847,29741,2106,-0.8236627984527178
2015,TRABZON,27314,32454,-5140,9.12208735415756
2016,TRABZON,28680,26775,1905,-17.498613422074317
2017,TRABZON,29703,29192,511,9.027077497665736
2018,TRABZON,46593,33344,13249,14.22307481501781
2019,TRABZON,29603,37502,-7899,12.470009596928989
2020,TRABZON,23761,24506,-745,-34.65415177857181
2021,TRABZON,29914,29442,472,20.14200603933731
2022,TRABZON,28168,30339,-2171,3.0466680252700273
2023,TRABZON,41272,35644,5628,17.48574442137183
2024,TRABZON,26772,29887,-3115,-16.151385927505334
2008,TUNCELİ,6861,6068,793,
2009,TUNCELİ,4100,6205,-2105,2.2577455504284805
2010,TUNCELİ,6400,6258,142,0.8541498791297286
2011,TUNCELİ,6187,6419,-232,2.572706935123037
2012,TUNCELİ,5171,5404,-233,-15.812431842966191
2013,TUNCELİ,8458,5612,2846,3.849000740192454
2014,TUNCELİ,7286,6810,476,21.347113328581614
2015,TUNCELİ,6996,8133,-1137,19.427312775330407
2016,TUNCELİ,4822,7031,-2209,-13.549735644903482
2017,TUNCELİ,6074,6725,-651,-4.3521547432797565
2018,TUNCELİ,11211,5884,5327,-12.505576208178438
2019,TUNCELİ,6517,8179,-1662,39.00407885791979
2020,TUNCELİ,5791,6311,-520,-22.838977870155276
2021,TUNCELİ,7054,6517,537,3.2641419743305367
2022,TUNCELİ,8081,7578,503,16.280497161270514
2023,TUNCELİ,11806,7234,4572,-4.539456320929003
2024,TUNCELİ,6739,8868,-2129,22.587779928117225
2008,UŞAK,8666,10222,-1556,
2009,UŞAK,8693,9644,-951,-5.6544707493641155
2010,UŞAK,8998,9562,-564,-0.8502695976773111
2011,UŞAK,8653,10138,-1485,6.023844384020083
2012,UŞAK,10351,9435,916,-6.934306569343063
2013,UŞAK,10655,10493,162,11.213566507684147
2014,UŞAK,10190,10895,-705,3.8311255122462695
2015,UŞAK,11044,11001,43,0.9729233593391395
2016,UŞAK,11737,10701,1036,-2.727024815925827
2017,UŞAK,13909,10420,3489,-2.6259228109522526
2018,UŞAK,13691,13011,680,24.86564299424183
2019,UŞAK,13117,12363,754,-4.980401198985474
2020,UŞAK,8756,10428,-1672,-15.651540888133953
2021,UŞAK,13705,12231,1474,17.28998849252015
2022,UŞAK,13255,12313,942,0.6704276019949384
2023,UŞAK,14575,13122,1453,6.570291561763986
2024,UŞAK,11053,11886,-833,-9.419295839048925
2008,VAN,21187,30275,-9088,
2009,VAN,22866,27175,-4309,-10.239471511147812
2010,VAN,23231,31312,-8081,15.223551057957675
2011,VAN,23415,72273,-48858,130.81566172713335
2012,VAN,50003,46639,3364,-35.46829383033775
2013,VAN,32118,38507,-6389,-17.436051373314175
2014,VAN,27587,44435,-16848,15.39460357857012
2015,VAN,30492,48061,-17569,8.16023404973556
2016,VAN,28902,49035,-20133,2.0265912070077663
2017,VAN,31971,48269,-16298,-1.5621494850616924
2018,VAN,34691,44954,-10263,-6.867761917586856
2019,VAN,34372,39575,-5203,-11.965564799572892
2020,VAN,26621,38114,-11493,-3.691724573594446
2021,VAN,30318,58185,-27867,52.66043973343129
2022,VAN,33903,62422,-28519,7.28194551860446
2023,VAN,39585,56547,-16962,-9.411745858831821
2024,VAN,31418,54023,-22605,-4.463543600898367
2008,YALOVA,16656,6542,10114,
2009,YALOVA,12269,10233,2036,56.420055029043105
2010,YALOVA,10455,10984,-529,7.339001270399681
2011,YALOVA,10267,9782,485,-10.943190094683175
2012,YALOVA,11353,9199,2154,-5.9599263954201565
2013,YALOVA,14670,9808,4862,6.62028481356669
2014,YALOVA,14680,11064,3616,12.805872756933123
2015,YALOVA,13834,11497,2337,3.9135936370209734
2016,YALOVA,12825,10493,2332,-8.732712881621296
2017,YALOVA,15754,10719,5035,2.1538168302678073
2018,YALOVA,16232,12905,3327,20.393693441552372
2019,YALOVA,14531,12824,1707,-0.6276636962417648
2020,YALOVA,14661,10281,4380,-19.830006238303177
2021,YALOVA,16965,11564,5401,12.479330804396449
2022,YALOVA,18466,12007,6459,3.8308543756485625
2023,YALOVA,22979,12563,10416,4.630632131256762
2024,YALOVA,17812,13049,4763,3.8685027461593524
2008,YOZGAT,15352,30117,-14765,
2009,YOZGAT,17705,25546,-7841,-15.177474516054057
2010,YOZGAT,16181,29618,-13437,15.9398731699679
2011,YOZGAT,15251,26921,-11670,-9.105949085015874
2012,YOZGAT,14646,24525,-9879,-8.900115151740273
2013,YOZGAT,16688,26572,-9884,8.346585117227324
2014,YOZGAT,16200,27722,-11522,4.327863916905006
2015,YOZGAT,14933,26804,-11871,-3.3114493903758757
2016,YOZGAT,17736,21825,-4089,-18.57558573347262
2017,YOZGAT,19074,23498,-4424,7.665521191294378
2018,YOZGAT,25715,22524,3191,-4.145033619882543
2019,YOZGAT,18009,25253,-7244,12.115965192683365
2020,YOZGAT,14109,17604,-3495,-30.289470557953514
2021,YOZGAT,18320,22928,-4608,30.243126562144962
2022,YOZGAT,19580,22042,-2462,-3.864270760642008
2023,YOZGAT,29124,22387,6737,1.565193721077951
2024,YOZGAT,16151,24594,-8443,9.858399964264986
2008,ZONGULDAK,17639,19530,-1891,
2009,ZONGULDAK,16258,20701,-4443,5.9959037378392255
2010,ZONGULDAK,15712,23267,-7555,12.39553644751461
2011,ZONGULDAK,15822,23658,-7836,1.6804916835002404
2012,ZONGULDAK,14279,22687,-8408,-4.104319891791364
2013,ZONGULDAK,17006,25571,-8565,12.71212588707189
2014,ZONGULDAK,18115,24783,-6668,-3.0816158930037973
2015,ZONGULDAK,18244,25340,-7096,2.2475083726748224
2016,ZONGULDAK,19991,21933,-1942,-13.445146014206788
2017,ZONGULDAK,19421,22541,-3120,2.772078603018291
2018,ZONGULDAK,24363,24105,258,6.938467681114413
2019,ZONGULDAK,19654,26251,-6597,8.902717278572903
2020,ZONGULDAK,15243,19593,-4350,-25.36284332025447
2021,ZONGULDAK,20883,21991,-1108,12.239064972183943
2022,ZONGULDAK,20334,21695,-1361,-1.346005183938881
2023,ZONGULDAK,26828,22615,4213,4.240608435123305
2024,ZONGULDAK,18070,21563,-3493,-4.651779792173338
2008,ÇANAKKALE,16390,14246,2144,
2009,ÇANAKKALE,15412,14802,610,3.902849922785334
2010,ÇANAKKALE,16578,15420,1158,4.175111471422777
2011,ÇANAKKALE,17278,15623,1655,1.316472114137479
2012,ÇANAKKALE,23252,14374,8878,-7.9946233117839105
2013,ÇANAKKALE,24766,18238,6528,26.881870043133425
2014,ÇANAKKALE,27429,20540,6889,12.621998026099357
2015,ÇANAKKALE,25096,23005,2091,12.000973709834462
2016,ÇANAKKALE,25116,20024,5092,-12.95805259726146
2017,ÇANAKKALE,26088,20540,5548,2.5769077107471006
2018,ÇANAKKALE,29473,21068,8405,2.570593962999035
2019,ÇANAKKALE,25198,22293,2905,5.814505411049931
2020,ÇANAKKALE,21055,19022,2033,-14.672767236352213
2021,ÇANAKKALE,31210,19429,11781,2.139627799390187
2022,ÇANAKKALE,27747,22233,5514,14.43203458747233
2023,ÇANAKKALE,32719,22615,10104,1.7181666891557645
2024,ÇANAKKALE,24714,21211,3503,-6.208268848109666
2008,ÇANKIRI,12680,11612,1068,
2009,ÇANKIRI,20166,11831,8335,1.8859800206682653
2010,ÇANKIRI,11536,17958,-6422,51.78767644324233
2011,ÇANKIRI,10582,14322,-3740,-20.24724356832609
2012,ÇANKIRI,17050,10609,6441,-25.925150118698504
2013,ÇANKIRI,22290,16991,5299,60.156470920916206
2014,ÇANKIRI,14519,23080,-8561,35.83661938673415
2015,ÇANKIRI,12702,16148,-3446,-30.034662045060657
2016,ÇANKIRI,13371,13088,283,-18.949715135001245
2017,ÇANKIRI,13849,13504,345,3.17848410757946
2018,ÇANKIRI,40460,12433,28027,-7.930983412322279
2019,ÇANKIRI,11381,32275,-20894,159.59140995737152
2020,ÇANKIRI,9955,12614,-2659,-60.91711851278079
2021,ÇANKIRI,15288,12457,2831,-1.2446488029173919
2022,ÇANKIRI,13649,14061,-412,12.876294452918046
2023,ÇANKIRI,25333,13438,11895,-4.430694829670722
2024,ÇANKIRI,13129,18744,-5615,39.48504241702635
2008,ÇORUM,15828,24072,-8244,
2009,ÇORUM,13672,22699,-9027,-5.703722166832836
2010,ÇORUM,14462,22860,-8398,0.7092823472399701
2011,ÇORUM,15174,22441,-7267,-1.8328958880139967
2012,ÇORUM,13289,20610,-7321,-8.159172942382241
2013,ÇORUM,17073,21460,-4387,4.124211547792345
2014,ÇORUM,15875,24652,-8777,14.874184529356938
2015,ÇORUM,16286,22636,-6350,-8.17783546973876
2016,ÇORUM,16688,20420,-3732,-9.789715497437712
2017,ÇORUM,17214,20880,-3666,2.252693437806075
2018,ÇORUM,24363,20212,4151,-3.1992337164750917
2019,ÇORUM,16006,23425,-7419,15.896497130417565
2020,ÇORUM,15672,15051,621,-35.74813233724653
2021,ÇORUM,18029,22011,-3982,46.24277456647399
2022,ÇORUM,18723,20448,-1725,-7.10099495706692
2023,ÇORUM,27902,20273,7629,-0.8558294209702666
2024,ÇORUM,16415,23143,-6728,14.156760222956644
2008,İSTANBUL,374868,348193,26675,
2009,İSTANBUL,388467,348986,39481,0.2277472551142523
2010,İSTANBUL,439515,336932,102583,-3.4540067509871486
2011,İSTANBUL,450445,328663,121782,-2.4542044091982906
2012,İSTANBUL,384535,354074,30461,7.731627837633082
2013,İSTANBUL,437922,371601,66321,4.9500951778441715
2014,İSTANBUL,438998,424662,14336,14.279025083355545
2015,İSTANBUL,453407,402864,50543,-5.133023439818018
2016,İSTANBUL,369582,440889,-71307,9.438669129036104
2017,İSTANBUL,416587,422559,-5972,-4.157509032885831
2018,İSTANBUL,385482,595803,-210321,40.998771769149386
2019,İSTANBUL,498676,378305,120371,-36.50501927650582
2020,İSTANBUL,328632,381654,-53022,0.8852645352295019
2021,İSTANBUL,385328,408165,-22837,6.946344070807586
2022,İSTANBUL,385294,418082,-32788,2.4296546739676295
2023,İSTANBUL,412707,581330,-168623,39.04688553920044
2024,İSTANBUL,395485,369453,26032,-36.4469406361275
2008,İZMİR,117067,89819,27248,
2009,İZMİR,116390,89517,26873,-0.33623175497389246
2010,İZMİR,111255,99775,11480,11.459275891730059
2011,İZMİR,110364,101420,8944,1.6487095965923348
2012,İZMİR,105804,95954,9850,-5.389469532636559
2013,İZMİR,113673,99681,13992,3.8841528232278044
2014,İZMİR,124439,101447,22992,1.7716515685035183
2015,İZMİR,126238,105389,20849,3.8857728666200186
2016,İZMİR,122668,98902,23766,-6.155291349192038
2017,İZMİR,127394,102776,24618,3.9170087561424483
2018,İZMİR,130092,117113,12979,13.949754806569636
2019,İZMİR,128370,106895,21475,-8.724906714028336
2020,İZMİR,107172,92400,14772,-13.560035548903127
2021,İZMİR,131394,109470,21924,18.474025974025963
2022,İZMİR,132426,107312,25114,-1.9713163423769053
2023,İZMİR,147765,125643,22122,17.08196660205754
2024,İZMİR,117889,102040,15849,-18.785766019595208
2008,ŞANLIURFA,25510,37282,-11772,
2009,ŞANLIURFA,27190,35154,-7964,-5.7078482914006745
2010,ŞANLIURFA,32555,37555,-5000,6.8299482277977
2011,ŞANLIURFA,35888,41570,-5682,10.690986553055515
2012,ŞANLIURFA,31890,44878,-12988,7.957661775318736
2013,ŞANLIURFA,33383,47429,-14046,5.684299656847447
2014,ŞANLIURFA,35670,49030,-13360,3.375571907482766
2015,ŞANLIURFA,40135,50580,-10445,3.1613297980828126
2016,ŞANLIURFA,38662,49789,-11127,-1.5638592328983791
2017,ŞANLIURFA,40058,52648,-12590,5.742232219968257
2018,ŞANLIURFA,44448,56748,-12300,7.787570278073241
2019,ŞANLIURFA,41841,60885,-19044,7.290124762106154
2020,ŞANLIURFA,37720,47194,-9474,-22.486655169582004
2021,ŞANLIURFA,40371,66987,-26616,41.939653345764285
2022,ŞANLIURFA,45648,68264,-22616,1.9063400361264193
2023,ŞANLIURFA,63205,63559,-354,-6.8923590765264215
2024,ŞANLIURFA,41771,60925,-19154,-4.144180997183722
2008,ŞIRNAK,13223,15877,-2654,
2009,ŞIRNAK,8356,13025,-4669,-17.96309126409271
2010,ŞIRNAK,11733,13554,-1821,4.0614203454894415
2011,ŞIRNAK,13403,13957,-554,2.973292017116713
2012,ŞIRNAK,11075,14617,-3542,4.728809916171106
2013,ŞIRNAK,13031,13753,-722,-5.910925634535136
2014,ŞIRNAK,12749,16142,-3393,17.370755471533485
2015,ŞIRNAK,11554,23615,-12061,46.295378515673406
2016,ŞIRNAK,11102,24122,-13020,2.146940503916994
2017,ŞIRNAK,19672,15186,4486,-37.04502114252549
2018,ŞIRNAK,19779,15485,4294,1.9689187409456022
2019,ŞIRNAK,16365,20724,-4359,33.832741362608985
2020,ŞIRNAK,14461,15008,-547,-27.58154796371357
2021,ŞIRNAK,17072,20431,-3359,36.134061833688705
2022,ŞIRNAK,20096,23469,-3373,14.869560961284334
2023,ŞIRNAK,22726,21572,1154,-8.083003110486175
2024,ŞIRNAK,15266,23363,-8097,8.302429074726492
